,Neighborhood,Exterior1st,Exterior2nd,SalePrice
0,CollgCr,VinylSd,VinylSd,208500
1,Veenker,MetalSd,MetalSd,181500
2,CollgCr,VinylSd,VinylSd,223500
3,Crawfor,Wd Sdng,Wd Shng,140000
4,NoRidge,VinylSd,VinylSd,250000
5,Mitchel,VinylSd,VinylSd,143000
6,Somerst,VinylSd,VinylSd,307000
7,NWAmes,HdBoard,HdBoard,200000
8,OldTown,BrkFace,Wd Shng,129900
9,BrkSide,MetalSd,MetalSd,118000
10,Sawyer,HdBoard,HdBoard,129500
11,NridgHt,WdShing,Wd Shng,345000
12,Sawyer,HdBoard,Plywood,144000
13,CollgCr,VinylSd,VinylSd,279500
14,NAmes,MetalSd,MetalSd,157000
15,BrkSide,Wd Sdng,Wd Sdng,132000
16,NAmes,Wd Sdng,Wd Sdng,149000
17,Sawyer,MetalSd,MetalSd,90000
18,SawyerW,VinylSd,VinylSd,159000
19,NAmes,BrkFace,Plywood,139000
20,NridgHt,VinylSd,VinylSd,325300
21,IDOTRR,Wd Sdng,Wd Sdng,139400
22,CollgCr,VinylSd,VinylSd,230000
23,MeadowV,CemntBd,CmentBd,129900
24,Sawyer,Plywood,Plywood,154000
25,NridgHt,VinylSd,VinylSd,256300
26,NAmes,Wd Sdng,Wd Sdng,134800
27,NridgHt,VinylSd,VinylSd,306000
28,NAmes,MetalSd,MetalSd,207500
29,BrkSide,MetalSd,MetalSd,68500
30,IDOTRR,BrkFace,BrkFace,40000
31,Sawyer,HdBoard,HdBoard,149350
32,CollgCr,VinylSd,VinylSd,179900
33,NAmes,BrkFace,BrkFace,165500
34,NridgHt,MetalSd,MetalSd,277500
35,NridgHt,VinylSd,VinylSd,309000
36,CollgCr,VinylSd,VinylSd,145000
37,NAmes,Wd Sdng,Wd Sdng,153000
38,NAmes,VinylSd,VinylSd,109000
39,Edwards,AsbShng,Plywood,82000
40,NAmes,Wd Sdng,Wd Sdng,160000
41,Timber,VinylSd,VinylSd,170000
42,SawyerW,HdBoard,HdBoard,144000
43,CollgCr,VinylSd,VinylSd,130250
44,NAmes,BrkFace,Wd Sdng,141000
45,NridgHt,MetalSd,MetalSd,319900
46,Mitchel,VinylSd,VinylSd,239686
47,Somerst,VinylSd,VinylSd,249700
48,OldTown,MetalSd,MetalSd,113000
49,Sawyer,HdBoard,HdBoard,127000
50,Gilbert,VinylSd,VinylSd,177000
51,BrkSide,Wd Sdng,Wd Sdng,114500
52,IDOTRR,Wd Sdng,Wd Sdng,110000
53,Veenker,WdShing,Wd Shng,385000
54,NAmes,MetalSd,MetalSd,130000
55,NAmes,HdBoard,Plywood,180500
56,Somerst,MetalSd,MetalSd,172500
57,CollgCr,VinylSd,VinylSd,196500
58,StoneBr,VinylSd,VinylSd,438780
59,CollgCr,HdBoard,HdBoard,124900
60,SawyerW,VinylSd,VinylSd,158000
61,IDOTRR,MetalSd,MetalSd,101000
62,NridgHt,VinylSd,VinylSd,202500
63,OldTown,Stucco,Stucco,140000
64,CollgCr,VinylSd,VinylSd,219500
65,NridgHt,VinylSd,VinylSd,317000
66,NAmes,Plywood,Plywood,180000
67,CollgCr,VinylSd,VinylSd,226000
68,OldTown,MetalSd,MetalSd,80000
69,ClearCr,BrkFace,AsbShng,225000
70,NAmes,Plywood,Plywood,244000
71,Mitchel,HdBoard,Plywood,129500
72,Gilbert,VinylSd,VinylSd,185000
73,NAmes,Wd Sdng,Wd Sdng,144900
74,OldTown,VinylSd,VinylSd,107400
75,MeadowV,CemntBd,CmentBd,91000
76,NAmes,VinylSd,VinylSd,135750
77,BrkSide,Wd Sdng,Wd Sdng,127000
78,Sawyer,HdBoard,HdBoard,136500
79,OldTown,Wd Sdng,Wd Sdng,110000
80,NAmes,VinylSd,VinylSd,193500
81,Mitchel,VinylSd,VinylSd,153500
82,Somerst,VinylSd,VinylSd,245000
83,NAmes,MetalSd,MetalSd,126500
84,Gilbert,HdBoard,HdBoard,168500
85,NoRidge,HdBoard,HdBoard,260000
86,Gilbert,VinylSd,VinylSd,174000
87,Somerst,VinylSd,VinylSd,164500
88,IDOTRR,Plywood,Plywood,85000
89,CollgCr,VinylSd,VinylSd,123600
90,NAmes,BrkFace,Wd Sdng,109900
91,NAmes,HdBoard,HdBoard,98600
92,Crawfor,Wd Sdng,Wd Sdng,163500
93,OldTown,MetalSd,MetalSd,133900
94,CollgCr,VinylSd,VinylSd,204750
95,Gilbert,VinylSd,VinylSd,185000
96,CollgCr,VinylSd,VinylSd,214000
97,Edwards,HdBoard,HdBoard,94750
98,Edwards,Wd Sdng,Wd Sdng,83000
99,NAmes,Plywood,Plywood,128950
100,NWAmes,Plywood,Plywood,205000
101,SawyerW,HdBoard,HdBoard,178000
102,SawyerW,HdBoard,HdBoard,118964
103,CollgCr,VinylSd,VinylSd,198900
104,IDOTRR,Stucco,Stucco,169500
105,Somerst,VinylSd,VinylSd,250000
106,OldTown,VinylSd,VinylSd,100000
107,OldTown,VinylSd,VinylSd,115000
108,IDOTRR,CemntBd,CmentBd,115000
109,NWAmes,Plywood,Plywood,190000
110,Edwards,Wd Sdng,Wd Sdng,136900
111,Gilbert,VinylSd,VinylSd,180000
112,CollgCr,VinylSd,VinylSd,383970
113,Crawfor,Wd Sdng,Wd Sdng,217000
114,Crawfor,Wd Sdng,Wd Sdng,259500
115,Somerst,MetalSd,MetalSd,176000
116,Sawyer,Wd Sdng,Wd Sdng,139000
117,Edwards,VinylSd,VinylSd,155000
118,SawyerW,Plywood,Plywood,320000
119,CollgCr,VinylSd,VinylSd,163990
120,ClearCr,Plywood,Plywood,180000
121,IDOTRR,AsbShng,AsbShng,100000
122,NAmes,MetalSd,MetalSd,136000
123,SawyerW,Plywood,Plywood,153900
124,NWAmes,HdBoard,HdBoard,181000
125,IDOTRR,Wd Sdng,Wd Sdng,84500
126,NPkVill,Plywood,Plywood,128000
127,OldTown,WdShing,Wd Sdng,87000
128,NAmes,VinylSd,VinylSd,155000
129,NAmes,Plywood,Plywood,150000
130,NAmes,MetalSd,MetalSd,226000
131,Gilbert,VinylSd,VinylSd,244000
132,NAmes,MetalSd,MetalSd,150750
133,Timber,VinylSd,VinylSd,220000
134,Sawyer,Plywood,Plywood,180000
135,NWAmes,Plywood,Plywood,174000
136,NAmes,MetalSd,MetalSd,143000
137,Mitchel,VinylSd,VinylSd,171000
138,CollgCr,VinylSd,VinylSd,230000
139,CollgCr,VinylSd,VinylSd,231500
140,NAmes,HdBoard,HdBoard,115000
141,CollgCr,VinylSd,VinylSd,260000
142,NAmes,BrkFace,Wd Sdng,166000
143,CollgCr,VinylSd,VinylSd,204000
144,Sawyer,HdBoard,HdBoard,125000
145,Edwards,VinylSd,VinylSd,130000
146,BrkSide,Wd Sdng,Wd Sdng,105000
147,Gilbert,VinylSd,VinylSd,222500
148,SawyerW,VinylSd,VinylSd,141000
149,BrkSide,MetalSd,MetalSd,115000
150,CollgCr,HdBoard,HdBoard,122000
151,NridgHt,VinylSd,VinylSd,372402
152,NWAmes,HdBoard,HdBoard,190000
153,ClearCr,BrkFace,Plywood,235000
154,OldTown,Wd Sdng,Wd Sdng,125000
155,Edwards,Wd Sdng,Wd Sdng,79000
156,NAmes,Wd Sdng,Wd Sdng,109500
157,Timber,VinylSd,VinylSd,269500
158,Somerst,VinylSd,VinylSd,254900
159,Gilbert,VinylSd,VinylSd,320000
160,Veenker,Plywood,Plywood,162500
161,NridgHt,VinylSd,VinylSd,412500
162,NridgHt,VinylSd,VinylSd,220000
163,OldTown,MetalSd,MetalSd,103200
164,OldTown,MetalSd,MetalSd,152000
165,Edwards,Wd Sdng,Wd Sdng,127500
166,ClearCr,Wd Sdng,Wd Sdng,190000
167,NridgHt,VinylSd,VinylSd,325624
168,Gilbert,VinylSd,VinylSd,183500
169,Timber,Plywood,Plywood,228000
170,OldTown,MetalSd,MetalSd,128500
171,NAmes,BrkFace,Plywood,215000
172,StoneBr,HdBoard,HdBoard,239000
173,NAmes,WdShing,Wd Shng,163000
174,Timber,VinylSd,Plywood,184000
175,Edwards,WdShing,Wd Shng,243000
176,ClearCr,Plywood,Plywood,211000
177,Sawyer,MetalSd,MetalSd,172500
178,StoneBr,VinylSd,VinylSd,501837
179,OldTown,Wd Sdng,Wd Sdng,100000
180,Somerst,MetalSd,MetalSd,177000
181,Crawfor,Stucco,Stucco,200100
182,Edwards,Wd Sdng,Wd Sdng,120000
183,OldTown,VinylSd,VinylSd,200000
184,BrkSide,AsbShng,Plywood,127000
185,OldTown,Wd Sdng,Wd Sdng,475000
186,Mitchel,HdBoard,HdBoard,173000
187,OldTown,HdBoard,HdBoard,135000
188,SawyerW,Plywood,Plywood,153337
189,StoneBr,CemntBd,CmentBd,286000
190,Crawfor,BrkFace,BrkFace,315000
191,NAmes,HdBoard,HdBoard,184000
192,CollgCr,VinylSd,VinylSd,192000
193,Edwards,VinylSd,VinylSd,130000
194,CollgCr,HdBoard,HdBoard,127000
195,NPkVill,Plywood,Brk Cmn,148500
196,Somerst,CemntBd,CmentBd,311872
197,NAmes,Stucco,Stucco,235000
198,OldTown,Wd Sdng,Wd Sdng,104000
199,NridgHt,VinylSd,VinylSd,274900
200,Edwards,VinylSd,VinylSd,140000
201,Mitchel,Plywood,Plywood,171500
202,OldTown,MetalSd,MetalSd,112000
203,CollgCr,VinylSd,VinylSd,149000
204,OldTown,AsbShng,AsbShng,110000
205,Gilbert,HdBoard,HdBoard,180500
206,Sawyer,HdBoard,HdBoard,143900
207,NAmes,Wd Sdng,Wd Sdng,141000
208,SawyerW,Plywood,Plywood,277000
209,NAmes,HdBoard,HdBoard,145000
210,Edwards,Stucco,Stucco,98000
211,Edwards,VinylSd,VinylSd,186000
212,Somerst,VinylSd,VinylSd,252678
213,CollgCr,VinylSd,VinylSd,156000
214,CollgCr,HdBoard,HdBoard,161750
